Date,Value,"Change, %"
2017,70.2,1.90%
2016,68.9,-0.96%
2015,69.6,2.58%
2014,67.8,-1.08%
2013,68.5,-0.83%
2012,69.1,-0.74%
2011,69.6,3.24%
2010,67.5,-6.99%
2009,72.5,-2.70%
2008,74.5,0.69%
2007,74,-4.00%
2006,77.1,
