Date,Value,"Change, %"
2017,"2,611.01",14.84%
2016,"2,273.56",8.14%
2015,"2,102.39",3.10%
2014,"2,039.13",9.82%
2013,"1,856.72",1.59%
2012,"1,827.64",0.25%
2011,"1,823.05",6.71%
2010,"1,708.46",25.13%
2009,"1,365.37",11.54%
2008,"1,224.10",-1.18%
2007,"1,238.70",30.51%
2006,949.12,
