Date,Value,"Change, %"
2017,"9,459.00",8.66%
2016,"8,705.02",8.48%
2015,"8,024.59",9.33%
2014,"7,339.97",9.34%
2013,"6,713.11",8.10%
2012,"6,209.85",7.40%
2011,"5,782.04",8.84%
2010,"5,312.44",11.61%
2009,"4,759.95",9.30%
2008,"4,354.79",5.93%
2007,"4,111.05",12.72%
2006,"3,647.03",
